objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,RAD 1.jpg,,,RAD Digitization,James Olaivar,2023-03-23,Photos of the HRVVMC Staff on the Digitization Training,,"Quezon City, Philippines",14.65716667,121.0620243,James Olaivar,,Image;StillImage,image/jpeg,eng,,
coll002,RAD 2.jpg,,,RAD Digitization,James Olaivar,2023-03-23,Photos of the HRVVMC Staff on the Digitization Training,,"Quezon City, Philippines",14.65716667,121.0620243,James Olaivar,,Image;StillImage,image/jpeg,eng,,
